movie_id,title,year,genres,overview,source,status
23,Assassins (1995),1995,Thriller,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
24,Powder (1995),1995,Drama|Sci-Fi,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
25,Leaving Las Vegas (1995),1995,Drama|Romance,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
26,Othello (1995),1995,Drama,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
27,Now and Then (1995),1995,Drama,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
28,Persuasion (1995),1995,Romance,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
29,"City of Lost Children, The (1995)",1995,Adventure|Sci-Fi,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995,Drama,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
31,Dangerous Minds (1995),1995,Drama,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
32,Twelve Monkeys (1995),1995,Drama|Sci-Fi,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
33,Wings of Courage (1995),1995,Adventure|Romance,"A short IMAX adventure-drama dramatizing early airmail flights over the Andes, centered on pilot Henri Guillaumet after a crash forces him to trek back to civilization.",https://en.wikipedia.org/wiki/Wings_of_Courage,found
34,Babe (1995),1995,Children's|Comedy|Drama,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
35,Carrington (1995),1995,Drama|Romance,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
36,Dead Man Walking (1995),1995,Drama,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
37,Across the Sea of Time (1995),1995,Documentary,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
38,It Takes Two (1995),1995,Comedy,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
39,Clueless (1995),1995,Comedy|Romance,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
40,"Cry, the Beloved Country (1995)",1995,Drama,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
41,Richard III (1995),1995,Drama|War,Shakespeare's Play transplanted into a 1930s setting.,https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
42,Dead Presidents (1995),1995,Action|Crime|Drama,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
43,Restoration (1995),1995,Drama,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
44,Mortal Kombat (1995),1995,Action|Adventure,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
45,To Die For (1995),1995,Comedy|Drama,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
46,How to Make an American Quilt (1995),1995,Drama|Romance,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
47,Seven (Se7en) (1995),1995,Crime|Thriller,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
48,Pocahontas (1995),1995,Animation|Children's|Musical|Romance,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
49,When Night Is Falling (1995),1995,Drama|Romance,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
50,"Usual Suspects, The (1995)",1995,Crime|Thriller,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
51,Guardian Angel (1994),1994,Action|Drama|Thriller,"Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier. With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector. In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
52,Mighty Aphrodite (1995),1995,Comedy,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
53,Lamerica (1994),1994,Drama,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
54,"Big Green, The (1995)",1995,Children's|Comedy,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
55,Georgia (1995),1995,Drama,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
56,Kids of the Round Table (1995),1995,Adventure|Children's|Fantasy,"A modern-day Arthurian fantasy in which young Alex Cole and his friends discover Excalibur and confront a menacing biker gang, guided by Merlin’s magic and the legend of King Arthur.",https://en.wikipedia.org/wiki/Kids_of_the_Round_Table,found
57,Home for the Holidays (1995),1995,Drama,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
58,"Postino, Il (The Postman) (1994)",1994,Drama|Romance,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
59,"Confessional, The (Le Confessionnal) (1995)",1995,Drama|Mystery,"The year is 1952, in Quebec City. Rachel (16), unmarried and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the confessional. In the present year of 1989, Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
60,"Indian in the Cupboard, The (1995)",1995,Adventure|Children's|Fantasy,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
61,Eye for an Eye (1996),1996,Drama|Thriller,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
62,Mr. Holland's Opus (1995),1995,Drama,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996,Comedy,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
64,Two if by Sea (1996),1996,Comedy|Romance,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
65,Bio-Dome (1996),1996,Comedy,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
66,Lawnmower Man 2: Beyond Cyberspace (1996),1996,Sci-Fi|Thriller,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
67,Two Bits (1995),1995,Drama,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
68,French Twist (Gazon maudit) (1995),1995,Comedy|Romance,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
69,Friday (1995),1995,Comedy,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
70,From Dusk Till Dawn (1996),1996,Action|Comedy|Crime|Horror|Thriller,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
71,Fair Game (1995),1995,Action,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
72,Kicking and Screaming (1995),1995,Comedy|Drama,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
73,"Misérables, Les (1995)",1995,Drama|Musical,"Claude Lelouch’s war drama that reimagines Victor Hugo’s novel in 20th‑century France, following Henri Fortin as he sees echoes of Jean Valjean’s story in his own life amid war and occupation.",https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_%281995_film%29,found
74,Bed of Roses (1996),1996,Drama|Romance,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
75,Big Bully (1996),1996,Comedy|Drama,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
76,Screamers (1995),1995,Sci-Fi|Thriller,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
77,Nico Icon (1995),1995,Documentary,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
78,"Crossing Guard, The (1995)",1995,Drama,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
79,"Juror, The (1996)",1996,Drama|Thriller,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
80,"White Balloon, The (Badkonake Sefid ) (1995)",1995,Drama,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
81,Things to Do in Denver when You're Dead (1995),1995,Crime|Drama|Romance,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
82,Antonia's Line (Antonia) (1995),1995,Drama,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
83,Once Upon a Time... When We Were Colored (1995),1995,Drama,"A coming-of-age period drama based on Clifton Taulbert’s memoir, portraying childhood and community life in segregated rural Mississippi from the 1940s through the early civil-rights era.",https://en.wikipedia.org/wiki/Once_Upon_a_Time..._When_We_Were_Colored,found
84,Last Summer in the Hamptons (1995),1995,Comedy|Drama,"Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the decades-old family retreat which economic circumstances have forced them to put on the market. Victoria Foyt plays a young Hollywood actress whose visit wreaks havoc on the stellar group of family and friends - led by matriarch Viveca Lindfors and made up of an extraordinary mix of prominent New York actors, directors, and playwrights. In the course of a very unusual weekend, comic as well as serious situations arise, and the family's secrets - of which there are many - begin to unravel.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
85,Angels and Insects (1995),1995,Drama|Romance,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
